,LB001,LB002,LB003,LB004,LB005,LB006,LB007,LB008,LB009,LB010,LB011,LB012,LB013,LB014,LB015,LB016,LB017,LB018,LB019,LB020
ILMN011,4.559819672591671,79.03748416217339,76.54437460035729,17.99919117506047,54.50767422311693,40.616051061046974,58.581479468729285,26.033136871863466,16.842562192332323,98.35540937514514,38.64313813113986,81.83189738952758,41.71104665960485,55.58508106260599,30.79609393669499,8.930190554388577,27.455505852377158,66.95709523976144,62.50220748207225,51.29110627948988
ILMN012,40.407248746850314,44.76361399769124,32.97701737925329,86.17242077028409,27.092283668060972,1.0564754828567913,57.00404584763911,78.09933656438588,37.484079461343725,10.983565218976901,11.540929014383872,10.961271738998715,49.03929913064004,88.30422153117057,34.22079531075345,4.059614781985913,39.83907721217102,-0.20055792977211984,79.15743703808415,0.3954443944774648
ILMN013,94.7574225290524,10.403295635007364,69.33395467534257,64.6060684271042,65.30650232886447,4.397363753209779,80.35995989769052,7.0755139142286225,53.150107324320814,88.94692656049149,19.318216112189535,99.33583753193776,79.55768113840634,6.601885559415751,78.24664662867114,35.539240411384085,61.73302779896238,1.2544602525591406,42.07773850479131,93.57389866516442
ILMN014,83.01531137427571,55.42560404166845,45.843834436303936,95.37819317821244,6.571244845640188,27.06928050123789,38.771458226293745,48.84191180467461,31.119152812605073,72.28953680963237,67.32485484414407,79.1366122596152,63.63763696950966,24.005609770524465,1.2518130146712294,78.10314619251602,69.97204870439953,39.598269064334126,16.611309124267827,9.183325832930574
ILMN015,9.045867741734847,59.52799002658365,99.55316102012219,2.4033909546060137,28.236680446179832,93.55682138580121,31.89961338348406,43.27709829041977,67.4640270164043,43.907862310532856,42.698695755495905,33.23669798790267,35.74643359604802,46.806719099726294,12.621284694297417,58.27627400245888,48.9283599544697,15.29556122149495,92.8643900728517,80.25568984037969
ILMN016,92.6607274397335,13.979235462087413,17.403337711926135,9.933068642453676,65.41991267067455,99.15804872451345,28.293075427808137,86.48332978316051,72.65981141357538,13.378390821802663,43.628565301420664,33.67315329284893,38.21066792105566,49.113486505244744,76.11013975430633,76.81964774213355,69.20028467979601,5.562630278099559,13.77212966881192,24.336576125349538
ILMN017,37.71448985127684,29.60849659176086,1.7882251567540268,71.36978104474875,36.5279949658526,94.21701518564073,91.3271453873182,23.689170038905544,70.74557504287436,14.523836183150522,24.717609449570173,77.80984374783594,76.21967405100779,23.07374509506561,77.82777802811287,86.61488455111251,82.14718920692864,2.8986361340665403,6.629709932324404,47.623704331683165
ILMN018,38.87173113438422,53.272839548667356,38.91188579686274,51.617317059649785,18.543498720993956,15.073367987742966,49.37183610093132,78.59186157272873,36.8057719997349,85.99228964773833,57.25075370541644,24.22119545187514,36.64317249042418,0.26249436886734845,74.03381069616474,0.9852595143597003,15.610994131167317,57.175074562121026,98.17451590022783,2.848990740100321
ILMN019,81.9740294439589,72.11694928989014,37.5389806685294,30.22058314978677,49.350965926142315,29.934145754165147,75.57129304137418,89.23460046066246,-0.36256478333966236,47.615283208916225,67.23251258994776,71.53267579249403,18.594487740381275,76.81861159662883,71.2995837818183,92.08964462359067,23.61215192591897,53.74921022921188,85.27221122551605,64.86363568967118
ILMN020,6.593142057734465,56.15607743979119,85.20653909810396,34.00115011512822,74.32468123043901,48.26581709421829,37.61301608568103,30.660714835893636,91.27965516935431,82.54603272035172,73.91719829859255,23.316677636548448,60.271060236561944,24.44408102769254,2.3647836354531533,77.06100219241303,99.36374943279806,72.41351834439456,5.802068425561884,24.02628535321959
