X.PROBE_ID	UTR_TAG	ALN_BASIS	BWA_NUM_MISMATCHES	NUM_HITS	HIT	SNP_INFO	gene	uniq	Chr	Strand	P_start	P_end	Gene_symbol
ILMN_2366391	inclUTR	exome	0	4	chr1|-|45977047-45977086:45980178-45980188|935_NM_181697,PRDX1|exonic;chr1|-|45977047-45977086:45980178-45980188|935_NM_001202431,PRDX1|exonic;chr1|-|45977047-45977086:45980178-45980188|935_NM_181696,PRDX1|exonic;chr1|-|45977047-45977086:45980178-45980188|935_NM_002574,PRDX1|exonic;	NA	1	1	1	-	45977047	45980188	PRDX1
ILMN_2366388	inclUTR	exome	0	4	chr1|-|45976969-45977018|935_NM_181696,PRDX1|exonic;chr1|-|45976969-45977018|935_NM_181697,PRDX1|exonic;chr1|-|45976969-45977018|935_NM_001202431,PRDX1|exonic;chr1|-|45976969-45977018|935_NM_002574,PRDX1|exonic;	NA	1	1	1	-	45976969	45977018	PRDX1
ILMN_1766652	inclUTR	exome	0	1	chr20|+|49577729-49577778|963_NM_014484,MOCS3|exonic;	NA	1	1	20	+	49577729	49577778	MOCS3
ILMN_1721147	inclUTR	exome	0	1	chr7|+|154863337-154863350:154875864-154875900|1766_NM_024012,HTR5A|exonic;	NA	1	1	7	+	154863337	154875900	HTR5A
ILMN_2347592	inclUTR	exome	0	2	chr15|-|85200433-85200482|1235_NM_021077,NMB|exonic;chr15|-|85200433-85200482|1235_NM_205858,NMB|exonic;	NA	1	1	15	-	85200433	85200482	NMB
ILMN_1671291	inclUTR	exome	0	1	chr1|+|32696596-32696620:32696715-32696740|834_NM_003757,EIF3I|exonic;	NA	1	1	1	+	32696596	32696740	EIF3I
ILMN_1721672	inclUTR	exome	0	1	chr3|-|150915795-150915844|1736_NM_013308,GPR171|exonic;	NA	1	1	3	-	150915795	150915844	GPR171
ILMN_1759312	inclUTR	exome	0	2	chr1|-|115215785-115215834|1464_NM_001172626,AMPD1|exonic;chr1|-|115215785-115215834|1464_NM_000036,AMPD1|exonic;	NA	1	1	1	-	115215785	115215834	AMPD1
ILMN_1724062	inclUTR	exome	0	3	chr4|-|83846242-83846291|2_NM_001115007,LIN54|exonic;chr4|-|83846242-83846291|2_NM_001115008,LIN54|exonic;chr4|-|83846242-83846291|2_NM_194282,LIN54|exonic;	NA	1	1	4	-	83846242	83846291	LIN54
ILMN_1686227	inclUTR	exome	0	1	chr9|-|80038865-80038914|149_NM_004297,GNA14|exonic;	NA	1	1	9	-	80038865	80038914	GNA14
ILMN_1712532	inclUTR	exome	0	2	chr9|-|139258498-139258547|1647_NM_052814,CARD9|exonic;chr9|-|139258498-139258547|1647_NM_052813,CARD9|exonic;	NA	1	1	9	-	139258498	139258547	CARD9
ILMN_1723407	inclUTR	exome	0	1	chr14|+|62598268-62598317|1062_NR_015358,FLJ43390|exonic;	NA	1	1	14	+	62598268	62598317	FLJ43390
ILMN_1695357	inclUTR	exome	0	1	chr5|+|169031357-169031406|1874_NM_017785,CCDC99|exonic;	NA	1	1	5	+	169031357	169031406	CCDC99
ILMN_3233263	inclUTR	exome	0	2	chrX|-|154065352-154065401|1760_NM_019863,F8|exonic;chrX|-|154065352-154065401|27_NM_000132,F8|exonic;	NA	1	1	X	-	154065352	154065401	F8
ILMN_1806841	inclUTR	exome	0	1	chr8|+|39128408-39128433:39131830-39131854|110_NM_145004,ADAM32|exonic;	NA	1	1	8	+	39128408	39131854	ADAM32
ILMN_1798045	inclUTR	exome	0	1	chr8|+|39111935-39111984|110_NM_145004,ADAM32|exonic;	NA	1	1	8	+	39111935	39111984	ADAM32
ILMN_2128162	inclUTR	exome	0	1	chr14|+|72205838-72205887|141_NM_015556,SIPA1L1|exonic;	NA	1	1	14	+	72205838	72205887	SIPA1L1
ILMN_3249093	inclUTR	exome	0	1	chr17|-|39165217-39165266|883_NM_031958,KRTAP3-1|exonic;	NA	1	1	17	-	39165217	39165266	KRTAP3-1
ILMN_1670019	inclUTR	exome	0	6	chr7|+|94293912-94293961|1304_NM_001040152,PEG10|exonic;chr7|+|94293912-94293961|1304_NM_001172437,PEG10|exonic;chr7|+|94293912-94293961|1304_NM_001172438,PEG10|exonic;chr7|+|94293912-94293961|1304_NM_015068,PEG10|exonic;chr7|+|94293912-94293961|1304_NM_001184962,PEG10|exonic;chr7|+|94293912-94293961|1304_NM_001184961,PEG10|exonic;	NA	1	1	7	+	94293912	94293961	PEG10
ILMN_2387090	inclUTR	exome	0	3	chr3|-|88104711-88104760|1257_NM_003663,CGGBP1|exonic;chr3|-|88104711-88104760|1257_NM_001195308,CGGBP1|exonic;chr3|-|88104711-88104760|1257_NM_001008390,CGGBP1|exonic;	NA	1	1	3	-	88104711	88104760	CGGBP1
ILMN_1744784	inclUTR	exome	0	1	chr11|+|121059857-121059876:121060472-121060502|188_NM_005422,TECTA|exonic;	NA	1	1	11	+	121059857	121060502	TECTA
ILMN_1781356	inclUTR	exome	0	1	chrX|-|107018605-107018654|1401_NM_198057,TSC22D3|exonic;	NA	1	1	X	-	107018605	107018654	TSC22D3
ILMN_1748124	inclUTR	exome	0	3	chrX|-|106956628-106956677|1401_NM_004089,TSC22D3|exonic;chrX|-|106956628-106956677|1401_NM_001015881,TSC22D3|exonic;chrX|-|106956628-106956677|1401_NM_198057,TSC22D3|exonic;	NA	1	1	X	-	106956628	106956677	TSC22D3
ILMN_1668863	inclUTR	exome	0	2	chr2|-|133402464-133402513|1602_NM_144586,LYPD1|exonic;chr2|-|133402464-133402513|1602_NM_001077427,LYPD1|exonic;	NA	1	1	2	-	133402464	133402513	LYPD1
ILMN_1670304	inclUTR	exome	0	5	chrX|+|52928543-52928567:52936135-52936160|988_NM_001242491,FAM156A|exonic;chrX|-|52977888-52977913:52985470-52985494|989_NM_001242497,FAM156A|exonic;chrX|-|52977888-52977913:52985470-52985494|989_NM_001242491,FAM156A|exonic;chrX|-|52977888-52977913:52985470-52985494|989_NM_001242489,FAM156A|exonic;chrX|-|52977888-52977913:52985470-52985494|989_NM_001242495,FAM156A|exonic;	NA	1	0					
ILMN_1655545	inclUTR	exome	0	2	chr1|-|42896285-42896334|912_NM_001146192,ZMYND12|exonic;chr1|-|42896285-42896334|912_NM_032257,ZMYND12|exonic;	NA	1	1	1	-	42896285	42896334	ZMYND12
ILMN_1911605	inclUTR	exome	0	2	chr12|+|69973464-69973513|1118_NM_001042555,FRS2|exonic;chr12|+|69973464-69973513|1118_NM_006654,FRS2|exonic;	NA	1	1	12	+	69973464	69973513	FRS2
ILMN_2387105	inclUTR	exome	0	2	chr9|-|95147978-95148027|163_NM_014057,OGN|exonic;chr9|-|95147978-95148027|163_NM_033014,OGN|exonic;	NA	1	1	9	-	95147978	95148027	OGN
ILMN_1790098	inclUTR	exome	0	2	chr9|-|95146774-95146823|163_NM_033014,OGN|exonic;chr9|-|95146774-95146823|163_NM_014057,OGN|exonic;	NA	1	1	9	-	95146774	95146823	OGN
ILMN_1703196	inclUTR	exome	0	1	chr2|-|37479212-37479261|108_NM_005813,PRKD3|exonic;	NA	1	1	2	-	37479212	37479261	PRKD3
ILMN_2352609	inclUTR	exome	0	8	chr3|+|9792856-9792876:9793453-9793482|659_NM_016821,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016827,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016829,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016828,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016820,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_002542,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016826,OGG1|exonic;chr3|+|9792856-9792876:9793453-9793482|659_NM_016819,OGG1|exonic;	NA	1	1	3	+	9792856	9793482	OGG1
ILMN_3311010	inclUTR	exome	0	1	chr3|+|160122378-160122427|1806_NR_029663,MIR15B|exonic;	NA	1	1	3	+	160122378	160122427	MIR15B
ILMN_2408908	inclUTR	exome	0	2	chr14|-|50886776-50886824:50889838-50889839|121_NM_006575,MAP4K5|exonic;chr14|-|50886776-50886824:50889838-50889839|121_NM_198794,MAP4K5|exonic;	NA	1	1	14	-	50886776	50889839	MAP4K5
ILMN_1669747	inclUTR	exome	0	1	chr9|+|35405026-35405075|106_NM_006377,UNC13B|exonic;	NA	1	1	9	+	35405026	35405075	UNC13B
ILMN_2175075	inclUTR	exome	0	1	chr1|-|29474603-29474652|101_NM_005626,SRSF4|exonic;	NA	1	1	1	-	29474603	29474652	SRSF4
ILMN_2148913	inclUTR	exome	0	1	chr3|+|100295936-100295985|168_NM_018004,TMEM45A|exonic;	NA	1	1	3	+	100295936	100295985	TMEM45A
ILMN_1770922	inclUTR	exome	0	1	chr3|+|100277412-100277433:100287665-100287693|168_NM_018004,TMEM45A|exonic;	NA	1	1	3	+	100277412	100287693	TMEM45A
ILMN_1652888	inclUTR	exome	0	2	chr8|+|145438622-145438671|1694_NM_016458,FAM203A|exonic;chr8|+|145193414-145193463|1692_NM_016458,FAM203A|exonic;	NA	1	0					
ILMN_1745992	inclUTR	exome	0	2	chr8|+|145437880-145437929|1694_NM_016458,FAM203A|exonic;chr8|+|145192672-145192721|1692_NM_016458,FAM203A|exonic;	NA	1	0					
ILMN_1730612	inclUTR	exome	0	10	chr20|+|44039161-44039210|920_NM_001048226,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001048224,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001048222,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_018478,DBNDD2|exonic;chr20|+|44039161-44039210|920_NM_001048225,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001048223,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001197140,DBNDD2|exonic;chr20|+|44039158-44039207|920_NR_003189,SYS1-DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001197139,DBNDD2|exonic;chr20|+|44039160-44039209|920_NM_001048221,DBNDD2|exonic;	NA	1	1	20	+	44039158	44039210	DBNDD2,SYS1-DBNDD2
ILMN_3239704	inclUTR	exome	0	1	chr14|+|91592834-91592883|1283_NR_003709,SNORA11B|exonic;	NA	1	1	14	+	91592834	91592883	SNORA11B
ILMN_1753370	inclUTR	exome	0	1	chr11|-|34172883-34172932|105_NM_145804,ABTB2|exonic;	NA	1	1	11	-	34172883	34172932	ABTB2
ILMN_3248915	inclUTR	exome	0	2	chr13|-|41371317-41371366|112_NR_038258,LOC100616668|exonic;chr13|-|41371317-41371366|112_NR_038259,LOC100616668|exonic;	NA	1	1	13	-	41371317	41371366	LOC100616668
ILMN_3310970	inclUTR	exome	0	1	chr17|+|11985255-11985304|676_NR_030613,MIR744|exonic;	NA	1	1	17	+	11985255	11985304	MIR744
ILMN_1730529	inclUTR	exome	0	2	chr13|-|49884247-49884296|120_NM_001079670,CAB39L|exonic;chr13|-|49884247-49884296|120_NM_030925,CAB39L|exonic;	NA	1	1	13	-	49884247	49884296	CAB39L
ILMN_1783598	inclUTR	exome	0	2	chr13|-|49884906-49884955|120_NM_001079670,CAB39L|exonic;chr13|-|49884906-49884955|120_NM_030925,CAB39L|exonic;	NA	1	1	13	-	49884906	49884955	CAB39L
ILMN_1762534	inclUTR	exome	0	1	chrX|+|36007840-36007889|859_NM_152632,CXorf22|exonic;	NA	1	1	X	+	36007840	36007889	CXorf22
ILMN_1744138	inclUTR	exome	0	6	chr8|+|57130762-57130811|1020_NM_001011669,CHCHD7|exonic;chr8|+|57130763-57130812|1020_NM_001011670,CHCHD7|exonic;chr8|+|57130762-57130811|1020_NM_001011667,CHCHD7|exonic;chr8|+|57130763-57130812|1020_NM_001011671,CHCHD7|exonic;chr8|+|57130762-57130811|1020_NM_001011668,CHCHD7|exonic;chr8|+|57130762-57130811|1020_NM_024300,CHCHD7|exonic;	NA	1	1	8	+	57130762	57130812	CHCHD7
ILMN_1761990	inclUTR	exome	0	1	chr10|-|43690400-43690449|918_NM_145313,RASGEF1A|exonic;	NA	1	1	10	-	43690400	43690449	RASGEF1A
ILMN_1755124	inclUTR	exome	0	1	chr12|+|101880355-101880404|1362_NM_152323,SPIC|exonic;	NA	1	1	12	+	101880355	101880404	SPIC
ILMN_2191940	inclUTR	exome	0	1	chr12|+|101880562-101880611|1362_NM_152323,SPIC|exonic;	NA	1	1	12	+	101880562	101880611	SPIC
ILMN_2292646	inclUTR	exome	0	1	chr2|+|171717365-171717414|236_NM_000817,GAD1|exonic;	NA	1	1	2	+	171717365	171717414	GAD1
ILMN_1806037	inclUTR	exome	0	1	chr17|-|76170481-76170530|1166_NM_003258,TK1|exonic;	NA	1	1	17	-	76170481	76170530	TK1
ILMN_1737992	inclUTR	exome	0	2	chr9|-|131857301-131857350|198_NR_028048,CRAT|exonic;chr9|-|131857301-131857350|198_NM_000755,CRAT|exonic;	NA	1	1	9	-	131857301	131857350	CRAT
ILMN_2284400	inclUTR	exome	0	1	chr20|-|25056216-25056265|776_NM_014588,VSX1|exonic;	NA	1	1	20	-	25056216	25056265	VSX1
ILMN_3309448	inclUTR	exome	0	1	chr14|-|102026644-102026693|1363_NR_031649,MIR1247|exonic;	NA	1	1	14	-	102026644	102026693	MIR1247
ILMN_1754178	inclUTR	exome	0	2	chr10|-|5807396-5807445|629_NM_001494,GDI2|exonic;chr10|-|5807396-5807445|629_NM_001115156,GDI2|exonic;	NA	1	1	10	-	5807396	5807445	GDI2
ILMN_1766707	inclUTR	exome	0	1	chr5|-|148753919-148753968|1719_NM_014443,IL17B|exonic;	NA	1	1	5	-	148753919	148753968	IL17B
ILMN_2054297	inclUTR	exome	0	1	chr1|-|186641037-186641086|31_NM_000963,PTGS2|exonic;	MAF=0.0176678,Name=chr1_186641058	1	1	1	-	186641037	186641086	PTGS2
ILMN_1668000	inclUTR	exome	0	1	chr11|-|47600383-47600432|948_NM_016506,KBTBD4|exonic;	NA	1	1	11	-	47600383	47600432	KBTBD4
ILMN_3236858	inclUTR	exome	0	1	chr14|+|24888269-24888318|774_NM_025081,NYNRIN|exonic;	NA	1	1	14	+	24888269	24888318	NYNRIN
ILMN_1750599	inclUTR	exome	0	1	chr12|-|89992449-89992498|158_NM_001001323,ATP2B1|exonic;	NA	1	1	12	-	89992449	89992498	ATP2B1
ILMN_1770339	inclUTR	exome	0	9	chr17|+|5329559-5329608|625_NR_027681,RPAIN|exonic;chr17|+|5329558-5329607|625_NM_001160243,RPAIN|exonic;chr17|+|5329558-5329607|625_NM_001033002,RPAIN|exonic;chr17|+|5329558-5329607|625_NM_001160244,RPAIN|exonic;chr17|+|5329559-5329608|625_NR_027683,RPAIN|exonic;chr17|+|5329559-5329608|625_NR_027684,RPAIN|exonic;chr17|+|5329559-5329608|625_NR_027679,RPAIN|exonic;chr17|+|5329559-5329608|625_NR_027680,RPAIN|exonic;chr17|+|5329559-5329608|625_NR_027678,RPAIN|exonic;	NA	1	1	17	+	5329558	5329608	RPAIN
ILMN_2065383	inclUTR	exome	0	1	chr20|+|23501639-23501688|764_NR_001279,CSTT|exonic;	NA	1	1	20	+	23501639	23501688	CSTT
ILMN_2363250	inclUTR	exome	0	2	chr18|-|60985345-60985394|16_NM_000633,BCL2|exonic;chr18|-|60985346-60985395|1050_NM_000657,BCL2|exonic;	NA	1	1	18	-	60985345	60985395	BCL2
ILMN_1701120	inclUTR	exome	0	1	chr18|-|60985194-60985243|1050_NM_000657,BCL2|exonic;	NA	1	1	18	-	60985194	60985243	BCL2
ILMN_1752557	inclUTR	exome	0	1	chr2|+|233899710-233899759|2369_NM_005383,NEU2|exonic;	NA	1	1	2	+	233899710	233899759	NEU2
ILMN_1744635	inclUTR	exome	0	1	chr15|-|65620972-65621021|135_NM_004884,IGDCC3|exonic;	NA	1	1	15	-	65620972	65621021	IGDCC3
ILMN_3245650	inclUTR	exome	0	1	chr15|-|65619682-65619731|135_NM_004884,IGDCC3|exonic;	NA	1	1	15	-	65619682	65619731	IGDCC3
ILMN_1815313	inclUTR	exome	0	1	chr4|+|75179155-75179204|1158_NM_001013442,EPGN|exonic;	NA	1	1	4	+	75179155	75179204	EPGN
ILMN_3242362	inclUTR	exome	0	1	chr9|+|35865216-35865265|858_NR_024006,FP588|exonic;	NA	1	1	9	+	35865216	35865265	FP588
ILMN_1669502	inclUTR	exome	0	2	chr6|+|20493831-20493880|92_NM_001949,E2F3|exonic;chr6|+|20493831-20493880|92_NM_001243076,E2F3|exonic;	NA	1	1	6	+	20493831	20493880	E2F3
ILMN_2407346	inclUTR	exome	0	2	chr16|-|75145929-75145978|1158_NM_194436,LDHD|exonic;chr16|-|75145929-75145978|1158_NM_153486,LDHD|exonic;	NA	1	1	16	-	75145929	75145978	LDHD
ILMN_2214098	inclUTR	exome	0	2	chr13|+|103493458-103493507|1374_NM_017693,BIVM|exonic;chr13|+|103493460-103493509|1374_NM_001159596,BIVM|exonic;	MAF=1,Name=chr13_103493487;MAF=1,Name=chr13_103493487	1	1	13	+	103493458	103493509	BIVM
ILMN_1737842	inclUTR	exome	0	1	chr17|+|7386300-7386349|641_NM_001102614,SLC35G6|exonic;	NA	1	1	17	+	7386300	7386349	SLC35G6
ILMN_3200136	inclUTR	exome	0	4	chr16|+|69985164-69985213|139_NM_182619,CLEC18A|exonic;chr16|-|74455212-74455261|17_NM_001011880,CLEC18B|exonic;chr16|+|70208077-70208126|1120_NM_173619,CLEC18C|exonic;chr16|+|69985164-69985213|139_NM_001136214,CLEC18A|exonic;	NA	1	0					
ILMN_1671318	inclUTR	exome	0	1	chr4|+|79367630-79367679|148_NM_001166133,FRAS1|exonic;	NA	1	1	4	+	79367630	79367679	FRAS1
ILMN_1701613	inclUTR	exome	0	1	chr11|+|63313647-63313696|133_NM_004585,RARRES3|exonic;	NA	1	1	11	+	63313647	63313696	RARRES3
ILMN_1770987	inclUTR	exome	0	2	chr14|-|70546861-70546910|140_NM_182936,SLC8A3|exonic;chr14|-|70546860-70546909|140_NM_001130417,SLC8A3|exonic;	NA	1	1	14	-	70546860	70546910	SLC8A3
ILMN_1712023	inclUTR	exome	0	6	chr14|-|70511212-70511261|140_NM_001130417,SLC8A3|exonic;chr14|-|70511212-70511261|140_NM_058240,SLC8A3|exonic;chr14|-|70511212-70511261|140_NM_033262,SLC8A3|exonic;chr14|-|70511212-70511261|140_NM_182936,SLC8A3|exonic;chr14|-|70511212-70511261|140_NM_182932,SLC8A3|exonic;chr14|-|70511212-70511261|140_NM_183002,SLC8A3|exonic;	MAF=0.0300353,Name=chr14_70511231;MAF=0.0300353,Name=chr14_70511231;MAF=0.0300353,Name=chr14_70511231;MAF=0.0300353,Name=chr14_70511231;MAF=0.0300353,Name=chr14_70511231;MAF=0.0300353,Name=chr14_70511231	1	1	14	-	70511212	70511261	SLC8A3
ILMN_1771636	inclUTR	exome	0	1	chr1|+|32674815-32674864|834_NM_001099434,DCDC2B|exonic;	NA	1	1	1	+	32674815	32674864	DCDC2B
ILMN_1707128	inclUTR	exome	0	1	chr1|+|180910416-180910421:180913524-180913568|1965_NM_020950,KIAA1614|exonic;	NA	1	1	1	+	180910416	180913568	KIAA1614
ILMN_3243899	inclUTR	exome	0	7	chr8|-|93896501-93896550|1301_NM_001171798,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001171796,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001171799,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001191036,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001191035,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001171797,C8orf83|exonic;chr8|-|93896501-93896550|1301_NM_001171795,C8orf83|exonic;	NA	1	1	8	-	93896501	93896550	C8orf83
ILMN_2094313	inclUTR	exome	0	1	chr16|-|67428340-67428389|1099_NM_013304,ZDHHC1|exonic;	NA	1	1	16	-	67428340	67428389	ZDHHC1
ILMN_1806059	inclUTR	exome	0	1	chr1|-|153042834-153042883|1752_NM_001017418,SPRR2B|exonic;	NA	1	1	1	-	153042834	153042883	SPRR2B
