,Meth_PC1,Meth_PC2,Meth_PC3,Meth_PC4,Meth_PC5
s062,-0.1789180509678112,-0.2671263505839426,-0.11939812365750581,0.46018953582891287,0.24690118027794644
s063,-0.004453850642522133,-0.32632954254327656,-0.33642037549041715,-0.2573146533879269,0.37605076392327236
s064,-0.004794431201152415,0.1341172118275502,0.07849884618365044,0.48800231502662367,0.26004510364728306
s065,0.7507107561239887,0.06071074277104501,-0.04532303931721363,0.43418264598234535,0.09624626942507498
s066,-0.7118877359552186,-0.3367027404004465,-0.17604713494095894,-0.14739548006831654,-0.42529290115192525
s067,0.06635477305451849,0.19995752066348393,-0.47248597020840977,0.29661175954552554,-0.13566435558190268
s068,0.3723874767837594,-0.16929225224045796,0.49777751306146145,0.07795712279408971,0.30881423915201717
s069,-0.05410380911442508,-0.396604511338051,-0.15055942244086395,-0.16095142262563536,-0.2589572502896019
s070,-0.16855150705472643,-0.0966472882684635,-0.616771313969662,0.4476478920130579,0.2219611438949384
s071,0.3274165578307103,-0.11629409091585453,0.014463631200619128,-0.2498993276316566,-0.196235804498844
s072,-0.5177257903420341,0.637878877576948,0.054627191506747844,0.16415836381666257,-0.15836491028910857
s073,-0.48478250627456304,-0.036929372128256116,-0.4708598889202495,0.23706185697708643,-0.41706956841262455
s074,0.275770856940507,-0.3753390577898196,-0.003013987287262084,0.30512045051237846,0.6709687666220298
s075,-0.7668474440292284,-0.1368004938463363,-0.4833996371883922,-0.03559938221223719,0.0322734782110436
s076,-0.2688141192667427,-0.6753086791018937,-0.37197372828299113,0.14197228472893375,0.23990233865811816
s077,-0.27068994724675277,-0.16424431242692272,0.06855682386701607,-0.7232556316085007,-0.05401055457557407
s078,0.045876719220497936,0.021343985491347583,0.18776540867084518,-0.16104593606553017,-0.4740802473746964
s079,0.3364526270189384,0.19615449645124733,0.16649403838860719,0.8087643901656425,0.683277118871533
s080,0.325838542927608,-0.07614728632815938,0.6916578565964341,-0.7671693850174955,-0.20814608804716261
s081,-0.6285034878361936,-0.701616114934076,-0.4234568346129367,-0.1263033364814512,0.5032639414385924
s082,0.1759863981663811,-0.2206284006035742,0.12730138311443892,0.06913462627244292,0.15649035951712897
s083,0.32920353129540525,0.1596098154041324,0.14736097796490735,0.4620597432843552,-0.23139448603993368
s084,-0.16445303288258484,-0.105397036737731,0.3077990535942616,0.7770564962056319,0.2803532364384095
s085,-0.07446160474775848,0.4043945490836435,0.3159298551325212,0.16853208946018075,0.24528240499855156
s086,0.2626313490924812,0.16668346981114335,-0.49471049394831923,-0.6314718090473223,-0.09287591966615372
s087,0.32295762813641904,0.5218295929713632,0.4864669839006169,0.16377006144974415,-0.4489334937706776
s088,-0.5765191945008205,0.6273427283421145,0.05652323366848745,-0.6474869271155909,0.2605972335099668
s089,0.041682389761406397,0.42131614508849563,-0.5450304679622274,0.0921703033735772,0.33344957656378177
s090,-0.003910145187471414,-0.315227190508592,0.1703261391509776,0.4489340639892576,-0.3639495839998779
s091,-0.25284782332827993,-0.19376654012566544,0.6526822718151803,0.11821969059591284,-0.3070979248644819
s092,-0.2156033371098635,0.14090143781330267,0.6557497548568186,0.05818079982076059,0.0016883219824664864
s093,-0.9295726585251975,0.6064839153403927,0.02033925155089859,0.3358832948161553,-0.5990987851081918
s094,-0.007644727712995875,-0.7906547255964851,-0.24653892858774448,-0.1472403697034757,-0.0827020968256788
s095,-0.0879114373343565,0.09888443984922884,0.20332064150818488,-0.7236131961199526,0.30431240644696494
s096,-0.08547848517236521,-0.21920893534860653,-0.437837386717118,-0.04438843354821154,0.26997962407829007
s097,0.32859335723583194,0.6199735397318422,0.070704760160051,0.14886845734443493,0.12571616843635888
s098,0.11810053884055718,0.23932363959454467,0.3318508560730661,-0.49154344339920053,-0.017339206439983067
s099,0.5802862325408993,0.35234619309717413,-0.4446743022410884,-0.39096403611254804,0.325301624289431
s100,0.09743209174629516,-0.5399420548002234,-0.40601309267463953,-0.14800759378831485,-0.35603219270232356
